epoch,loss,train_auroc,train_auprc,train_accuracy,train_f1,train_mcc,val_auroc,val_auprc,val_accuracy,val_f1,val_mcc,test_auroc,test_auprc,test_accuracy,test_f1,test_mcc
0,4.875258922576904,0.6721587395288694,0.612672723839646,0.5008116883116883,0.6670276123443422,0.028501713717057404,0.6658319526627219,0.611753139562734,0.5015384615384615,0.6673511293634496,0.03925343359894298,0.6589972156141868,0.6069270807368067,0.5,0.6666666666666666,0.0
1,5.141948223114014,0.5972213437716684,0.5369661228699563,0.5059523809523809,0.6693227091633466,0.0773823232534137,0.5970840236686391,0.5454161900187198,0.5107692307692308,0.6714876033057852,0.10433824645548682,0.5510262354022492,0.5182211137399819,0.5064338235294118,0.6695384615384615,0.08047040239382804
2,2.460874557495117,0.6429935955098293,0.5771572558496262,0.5386904761904762,0.6825544591323776,0.18317097802974275,0.6288946745562131,0.5686375766870249,0.5261538461538462,0.6744186046511628,0.1266788529694705,0.6029310391435986,0.552201631347056,0.5202205882352942,0.67375,0.11967838846954226
3,1.8763152360916138,0.7569743117632728,0.6981062460137567,0.5830627705627706,0.7035968455472206,0.2855233391768093,0.715607100591716,0.6575030102100928,0.5553846153846154,0.6868905742145178,0.20415040082985758,0.7188936121323529,0.6607225695137459,0.5579044117647058,0.6882696046662347,0.21128214729063424
4,1.4410384893417358,0.7984097995258709,0.7600131654761978,0.599025974025974,0.7107728337236534,0.31202148083146714,0.7441372781065089,0.7014818973855722,0.5753846153846154,0.6960352422907489,0.24792732880761287,0.7602657331314879,0.7067912108553578,0.5799632352941176,0.697951090548579,0.2562028068587825
5,1.3881897926330566,0.7793270717377859,0.7496729145864218,0.6114718614718615,0.7143993635640413,0.3216316696395408,0.7309822485207101,0.6964907961577989,0.5846153846153846,0.6952595936794582,0.2461423006426877,0.7390668928416955,0.6966385870421787,0.5891544117647058,0.7002012072434608,0.26545272530252784
6,1.5405783653259277,0.7357447972301869,0.6939414978177553,0.6239177489177489,0.7107781939242613,0.3099832392743878,0.6927479289940828,0.6444960265789916,0.6,0.6933962264150944,0.25220904155355617,0.6913150140570934,0.6473882659167449,0.5992647058823529,0.6955307262569832,0.25627265885317474
7,1.2716333866119385,0.73022271064073,0.687612962881039,0.6423160173160173,0.7108486439195101,0.3232578350940604,0.6792426035502959,0.6309823995365962,0.6107692307692307,0.6857142857142857,0.2520504151250418,0.6846547902249135,0.6384302232997978,0.6158088235294118,0.6948905109489051,0.2708506460291216
8,0.9895312786102295,0.7560990821948614,0.720914956099926,0.6601731601731602,0.7171171171171171,0.3499610182008188,0.6905562130177515,0.6477519111797008,0.6138461538461538,0.6802547770700637,0.2503087338519432,0.7131879865916955,0.6670645501027161,0.6397058823529411,0.7034795763993948,0.309508758006715
9,0.9233921766281128,0.7823700244560634,0.7482505908285765,0.6883116883116883,0.735415709692237,0.40303728591015503,0.7048899408284024,0.6645587089735968,0.6307692307692307,0.6858638743455497,0.27928360256768253,0.7420895058391004,0.6935606864137334,0.6691176470588235,0.7213622291021672,0.364861102038931
10,0.8452733755111694,0.7991556040460261,0.7662341437866765,0.7010281385281385,0.7461520790259591,0.4301590535463796,0.7156544378698224,0.6781069480091194,0.6353846153846154,0.6893840104849279,0.2887870314145439,0.7605428200692042,0.7113713180388096,0.6856617647058824,0.7336448598130841,0.39805757013211585
11,0.784453272819519,0.8078263502370645,0.7779383012426544,0.7115800865800865,0.7517466231951561,0.44722237147786575,0.723607100591716,0.6902577279909774,0.6307692307692307,0.6825396825396826,0.27666755570593843,0.7701192149653979,0.7246517937922172,0.6957720588235294,0.7379255740300871,0.4135251950525478
12,0.7428120970726013,0.8106748725661064,0.7849992567330631,0.713474025974026,0.7508821453775583,0.44761110784033475,0.727119526627219,0.6964398491583056,0.64,0.6863270777479893,0.29307758432411424,0.7715316825259515,0.7320533548437519,0.6920955882352942,0.7330677290836654,0.4036833252988629
13,0.7557872533798218,0.8060775015929236,0.7823007316656635,0.7121212121212122,0.7494112105511069,0.44437961368041706,0.7246579881656805,0.692986942480976,0.6461538461538462,0.6891891891891891,0.30420449415320855,0.7644896193771626,0.7289774023584994,0.6875,0.7266881028938906,0.39144007379120144
14,0.7598757147789001,0.7973083689398626,0.7694370488046978,0.7064393939393939,0.7453649378080263,0.433643208233736,0.7176331360946745,0.6796773427416107,0.6523076923076923,0.696236559139785,0.3182161325096995,0.7560688797577855,0.7171548437228048,0.6810661764705882,0.719482619240097,0.37653128032999367
15,0.7409608960151672,0.7868322604523903,0.7502430019074284,0.7018398268398268,0.7368672397325693,0.4187945815015951,0.7068686390532545,0.656812512067022,0.6446153846153846,0.6865671641791045,0.30018623030459873,0.7462221561418685,0.7019007146966916,0.6773897058823529,0.7111111111111111,0.3648614850349256
16,0.729872465133667,0.7905451781263471,0.7527384468923746,0.7086038961038961,0.7360940945846606,0.42656758819664564,0.7104946745562131,0.6588817749469063,0.6569230769230769,0.6881118881118881,0.32031788944087713,0.7518956801470589,0.7076545161942607,0.6838235294117647,0.7084745762711865,0.3730200881948807
17,0.7512301206588745,0.8077229858885703,0.7803746709348086,0.7251082251082251,0.746,0.45643458542300225,0.7292591715976331,0.6877398603477215,0.6630769230769231,0.6884779516358464,0.3305791916162612,0.7713052822231833,0.7369268915834138,0.6920955882352942,0.7104580812445981,0.3873193943165034
18,0.6886009573936462,0.8300350443207587,0.8190259758958082,0.7378246753246753,0.7609178386380459,0.4847811855628161,0.7542248520710059,0.736505980383701,0.6707692307692308,0.6968838526912181,0.3467243566134577,0.7972973886245676,0.7780935779165281,0.71875,0.7406779661016949,0.44389390495190806
19,0.6217054128646851,0.8446668095612901,0.8428956485105598,0.7481060606060606,0.7724272793937913,0.5079510842995721,0.7713325443786982,0.7708525736870175,0.68,0.7086834733893558,0.3671899680725681,0.8142503784602076,0.8029354948833529,0.7352941176470589,0.76,0.48089047182263056
