epoch,loss,train_auroc,train_auprc,train_accuracy,train_f1,train_mcc,val_auroc,val_auprc,val_accuracy,val_f1,val_mcc,test_auroc,test_auprc,test_accuracy,test_f1,test_mcc
0,1.8759058713912964,0.5249074405933172,0.48951693710307465,0.5018939393939394,0.6675094816687737,0.04356068418690321,0.5027757913357672,0.4791235687891886,0.5015337423312883,0.6673490276356192,0.03919309008348102,0.5174072152186373,0.49810337130723903,0.5,0.6666666666666666,0.0
1,3.859215497970581,0.498938246097337,0.4631960329620547,0.47294372294372294,0.03944773175542406,-0.12570116832739645,0.5090989499040235,0.4720026387370204,0.4601226993865031,0.043478260869565216,-0.1624365606066005,0.5096914013613748,0.4782728866183823,0.47882136279926335,0.07213114754098361,-0.08802445456035159
2,6.889577388763428,0.594152330353629,0.5381277137945215,0.5579004329004329,0.6783464566929134,0.17475077361235172,0.5999096691633106,0.5537914357170717,0.5674846625766872,0.6887417218543046,0.2153140804887246,0.6061780775922591,0.5634197920186323,0.5432780847145487,0.6728232189973615,0.14174319441066163
3,2.2634711265563965,0.6772842056932966,0.634366366852319,0.5408549783549783,0.6790240211840363,0.16061803103140007,0.6884527080432084,0.6551305301438928,0.5398773006134969,0.6815286624203821,0.1745949755388324,0.677243266892545,0.6450199087791563,0.5359116022099447,0.6785714285714286,0.1559688093568811
4,2.99269437789917,0.6976393691085249,0.6726296979401474,0.6455627705627706,0.5875314861460957,0.3033838016665421,0.7211317701080207,0.694399646317345,0.6503067484662577,0.5928571428571429,0.31335022155131165,0.6927613795536021,0.6717452343193546,0.6289134438305709,0.5788923719958202,0.2654258571960859
5,1.457287311553955,0.733958028803808,0.7231487099406388,0.6666666666666666,0.5826558265582655,0.364148627046798,0.7571794196243742,0.7452386948129417,0.6932515337423313,0.6197718631178707,0.4190697662997757,0.7207587612642403,0.7080583891329858,0.6482504604051565,0.5717488789237668,0.31745298758497786
6,1.3620656728744507,0.7837878436498567,0.7798922555121788,0.6661255411255411,0.7204349796103308,0.36057932664424863,0.8034363355790584,0.8046860601117448,0.6671779141104295,0.7297633872976339,0.37726653566651325,0.7575369087227699,0.7514062197572768,0.641804788213628,0.7090501121914734,0.31982988646278937
7,1.1364256143569946,0.7957249618166826,0.7912854983454658,0.6412337662337663,0.7182320441988951,0.3373008079394433,0.8148688320975572,0.8148945310885353,0.6349693251533742,0.7173396674584323,0.33219138638902496,0.7646659815702274,0.7582986557638297,0.6261510128913443,0.7120567375886525,0.31440465031117426
8,1.3863574266433716,0.7754504694439759,0.7683511394966241,0.7137445887445888,0.6813253012048193,0.43662218115223145,0.7982140840829537,0.7900183928175142,0.7331288343558282,0.702054794520548,0.47674442598510375,0.749400540615705,0.7489861605849208,0.6896869244935543,0.6653426017874876,0.38345379275266706
9,0.9249671697616577,0.7620157394913889,0.7532292451591789,0.6831709956709957,0.6053252443545669,0.39867262541035803,0.7875719823854868,0.7808633322502911,0.7024539877300614,0.624031007751938,0.4455291691926621,0.7393072386204463,0.7404790046129921,0.6703499079189686,0.6004464285714286,0.363690861300365
10,1.0556604862213135,0.7661965784936564,0.7560409201945348,0.6977813852813853,0.6668654935878318,0.402557514711194,0.7916368700365088,0.7822862980814272,0.7239263803680982,0.6949152542372882,0.45617872764152406,0.7420849316090609,0.7430902497049204,0.6786372007366482,0.6554787759131293,0.36054746374297914
11,0.828737199306488,0.7801924919416803,0.7698142562828323,0.6447510822510822,0.710218494813507,0.324517949369183,0.8033798788061275,0.7903893931821787,0.6441717791411042,0.7170731707317073,0.33646185553278635,0.7521477095055435,0.7531287398074378,0.6289134438305709,0.7008166295471417,0.2940190412896908
12,0.8764327168464661,0.7838481639212158,0.7718693486411674,0.6366341991341992,0.7162476230720474,0.33014752226263716,0.8092325642666265,0.79449061689346,0.6303680981595092,0.7141162514827996,0.32174126863518127,0.7566924086566345,0.7572739340456758,0.6160220994475138,0.7019299499642602,0.28396822366597885
13,0.9700811505317688,0.7809795836378628,0.7676250011087549,0.7034632034632035,0.7106652587117213,0.4074316097679401,0.8114155594866197,0.7970908331277173,0.74079754601227,0.7443267776096822,0.4817787248073635,0.7580049449040017,0.7593204549148391,0.6731123388581952,0.6833184656556646,0.34694615107639354
14,0.7254483699798584,0.7812078343734189,0.7663291892109444,0.6996753246753247,0.6363040629095675,0.42605836788336626,0.8169012759230683,0.8014197673349078,0.7223926380368099,0.6641929499072357,0.47418295678965516,0.7615966138599757,0.763442878016654,0.7007366482504604,0.6494066882416397,0.41987723186493037
15,0.8147814869880676,0.80157295356159,0.7907770112366737,0.7318722943722944,0.6938523324065493,0.47874681949287434,0.837507998042832,0.8226770766260796,0.7469325153374233,0.7100175746924429,0.5106943877551492,0.7793650309141289,0.7816681835227468,0.7034990791896869,0.6694045174537988,0.4159422038808221
16,0.6917563676834106,0.8273241459118081,0.8242001804774072,0.7145562770562771,0.7502958579881657,0.4478537331395584,0.8573996010388045,0.8425566405786179,0.7438650306748467,0.7764390896921017,0.5098589960206441,0.8001994241120031,0.8033810607628318,0.6915285451197053,0.7334924423229913,0.40359219521735085
17,0.6769996881484985,0.8375182717715185,0.8374085023537192,0.6731601731601732,0.7408837408837409,0.40624088988550694,0.8648801234521435,0.8498498278434501,0.6978527607361963,0.7617896009673518,0.4690102927623827,0.8094787501399021,0.8112160913750286,0.6537753222836096,0.7279305354558611,0.36684872508521776
18,0.7868953943252563,0.835800900938888,0.8339069814790461,0.7456709956709957,0.7677865612648221,0.5005053353022508,0.8686627272385111,0.8533600479290329,0.7684049079754601,0.7894002789400278,0.5478093194843976,0.8106912351746149,0.8119164044910356,0.7062615101289135,0.7357083678541839,0.4231630640967343
19,0.5622847676277161,0.829307980079084,0.8233342110916346,0.7589285714285714,0.7318687932591033,0.5287393689221283,0.8676465053257556,0.852183726901675,0.7714723926380368,0.7435456110154905,0.5562985433592348,0.8074200692557885,0.8064639745221602,0.7338858195211786,0.7107107107107107,0.4738937931719576
20,0.5885335803031921,0.8238870617117371,0.8152033671798056,0.7210497835497836,0.6532122435250589,0.4803908833839494,0.8644096503443862,0.8483750275990297,0.7438650306748467,0.6782273603082851,0.5342101397698256,0.8044931473398247,0.7989943109859872,0.7016574585635359,0.6407982261640798,0.42867650881983677
21,0.6315767168998718,0.8299606688405391,0.823590811807235,0.7397186147186147,0.6908740359897172,0.5053338604754003,0.8688509164816138,0.8529038807895342,0.7561349693251533,0.7060998151571165,0.5448243666987251,0.8091463766198971,0.8024758173065454,0.7173112338858195,0.6730564430244942,0.4514814016206748
22,0.6036917567253113,0.843756734787579,0.8421149036349234,0.7686688311688312,0.7732696897374701,0.5377807327787154,0.8795400654898565,0.8629857220068332,0.8113496932515337,0.815592203898051,0.623359602470011,0.8191820219841341,0.8119258890673293,0.7467771639042358,0.7529200359389039,0.49416560625242706
23,0.5491089820861816,0.8508430489964581,0.8525026887744915,0.734577922077922,0.7678106508875739,0.48964588478183746,0.883379126049155,0.8688812927658249,0.7714723926380368,0.8005354752342704,0.5675788823626039,0.8241472753850276,0.8160916921796493,0.7173112338858195,0.7553784860557768,0.4573368593763034
24,0.5638706684112549,0.8538085516575775,0.858004302222676,0.72754329004329,0.7664115054511714,0.48259437056257193,0.8848470021453575,0.8707183590516423,0.7484662576687117,0.787012987012987,0.5330793530738146,0.825954980345872,0.8174351201481859,0.7108655616942909,0.7558320373250389,0.45362190223325616
25,0.6150721907615662,0.848920120734244,0.8518554995252707,0.7751623376623377,0.7701244813278009,0.5508540722463401,0.8822782189770032,0.8690322289402714,0.7944785276073619,0.7899686520376176,0.5895009009468897,0.8218206607449916,0.8146092718571026,0.7467771639042358,0.744661095636026,0.49362213563449764
26,0.5534655451774597,0.8454067577444202,0.8483724952019038,0.7597402597402597,0.7219787100814026,0.5397774930702728,0.8798411682788212,0.8679124472547384,0.7745398773006135,0.7398230088495575,0.5697430743040021,0.8182188170894255,0.8119280663482193,0.7357274401473296,0.7038183694530443,0.4827954827480273
27,0.5487760901451111,0.846922670583385,0.8519029074843245,0.7532467532467533,0.7073170731707317,0.5334477415022969,0.8805468779404569,0.869602813309267,0.7653374233128835,0.7192660550458716,0.5617978819619684,0.8191379316192356,0.8131187555950528,0.7375690607734806,0.6964856230031949,0.49356865092429697
28,0.575874388217926,0.8562884175708851,0.8655377448767294,0.786525974025974,0.7765505522514868,0.5753498638715026,0.884696450750875,0.8776760423722294,0.8021472392638037,0.7929373996789727,0.6066997625575757,0.8265756370209836,0.8204576071665467,0.7569060773480663,0.7495256166982922,0.5147067110339552
29,0.521143913269043,0.8625605545248403,0.8730850117933391,0.7673160173160173,0.7866004962779156,0.5435839609151698,0.886860627046558,0.888518475763096,0.7944785276073619,0.8112676056338028,0.5985056016645797,0.8310287638757466,0.826463524294895,0.7458563535911602,0.7688442211055276,0.5017370113946249
30,0.5317850708961487,0.8651803868930492,0.8758802792420965,0.7454004329004329,0.7785361261473288,0.5143708194282578,0.8871711392976778,0.8935583688389958,0.7576687116564417,0.791005291005291,0.543749119507729,0.8328568182357747,0.8301683854314255,0.7191528545119705,0.7604084838963079,0.46686415194425945
31,0.5916221141815186,0.8635376843574896,0.8747893779257067,0.7819264069264069,0.789556135770235,0.565341003029708,0.8865689337197487,0.8920394546640315,0.8174846625766872,0.8242245199409158,0.6368447008596629,0.8311813843696265,0.8291992322643941,0.7513812154696132,0.7623239436619719,0.5049075219461714
32,0.5131726264953613,0.859804562320796,0.8715973858760864,0.7784090909090909,0.7485416027018729,0.5732272081004284,0.8850916481613911,0.887471586488136,0.7791411042944786,0.7482517482517482,0.5758916977583183,0.8275897154136524,0.8259810103820109,0.7587476979742173,0.7358870967741935,0.5254282669689273
33,0.5272206664085388,0.8583536548228108,0.8703793244790199,0.7578463203463204,0.7072293097808309,0.5495938415022024,0.8841507019458766,0.8863585397767006,0.754601226993865,0.6992481203007519,0.5476549892040967,0.8252156188421871,0.8242615453985715,0.7384898710865562,0.6879120879120879,0.5041993561572027
34,0.5952349305152893,0.8635174799947526,0.8748491858738892,0.7851731601731602,0.7605548854041013,0.5828005994984475,0.8860890511498364,0.8915299035068444,0.7914110429447853,0.7663230240549829,0.5967412028101572,0.8292685408463314,0.8292926545653262,0.7596685082872928,0.7402985074626866,0.5252134336145171
35,0.5172683000564575,0.8669730116564532,0.8772387999776423,0.7908549783549783,0.7880449684672334,0.5819145511375462,0.8875475177838834,0.8946718615360554,0.8159509202453987,0.8136645962732919,0.6320921938755395,0.8311508602708505,0.8315219170437923,0.7587476979742173,0.7555970149253731,0.5176674835155525
36,0.4924396574497223,0.8698104069451472,0.8789545561880072,0.7702922077922078,0.7905255366395263,0.5509629173802654,0.8883096842184501,0.8963304421297901,0.799079754601227,0.8172942817294282,0.610416098854043,0.833280764052108,0.8332939349477746,0.7357274401473296,0.7626137303556658,0.48403660428880196
37,0.5268545150756836,0.8701934113865932,0.8790002530310487,0.7743506493506493,0.7918122815776335,0.556588292654186,0.8882720463698295,0.8961568029592712,0.8052147239263804,0.8198581560283688,0.618660157643886,0.8327415049737323,0.8328864910341437,0.7440147329650092,0.7652027027027027,0.49617725678099756
38,0.5537406206130981,0.8680365224602238,0.8773920170541131,0.7897727272727273,0.779449332954868,0.5821017546387834,0.8880368098159509,0.8947163103464877,0.8098159509202454,0.8,0.6226388150316059,0.8302690529728777,0.8305872267975303,0.7587476979742173,0.7509505703422054,0.5185128481313411
