epoch,loss,train_auroc,train_auprc,train_accuracy,train_f1,train_mcc,val_auroc,val_auprc,val_accuracy,val_f1,val_mcc,test_auroc,test_auprc,test_accuracy,test_f1,test_mcc
0,3.8336353302001953,0.5577967757350875,0.5327980846767623,0.5008116883116883,0.6670276123443422,0.028501713717057404,0.5194698224852071,0.5107737026756978,0.5,0.6666666666666666,0.0,0.5568551984212803,0.5323534065331096,0.5009191176470589,0.6670754138565297,0.030330895164368973
1,7.628754615783691,0.6151398317591499,0.5898102143149206,0.5029761904761905,0.6678719942144278,0.050271303876068596,0.5702674556213017,0.5653808805075663,0.5,0.6652935118434603,0.0,0.595453070934256,0.567624894146723,0.5036764705882353,0.6683046683046683,0.0607456739230787
2,3.2337441444396973,0.7410241386499504,0.699985893513801,0.5257034632034632,0.6767471879033745,0.1444418017284975,0.6896852071005918,0.6685366211355716,0.52,0.671578947368421,0.104,0.7160298172577854,0.6828923886720512,0.5248161764705882,0.6762680025046963,0.14064216928154863
3,1.695496678352356,0.7606329119113211,0.7183241473556823,0.5508658008658008,0.6865558912386707,0.20330515010220349,0.7021349112426036,0.6798780560946487,0.5323076923076923,0.6752136752136753,0.13603992571074539,0.7330605266003459,0.698412392791195,0.5606617647058824,0.6900129701686122,0.22022033055096424
4,1.625998616218567,0.7216714337250051,0.6770856605292758,0.5689935064935064,0.6909796314258002,0.22482690518408485,0.6583100591715976,0.6308899784129304,0.5446153846153846,0.673289183222958,0.14483895619208062,0.6922307525951557,0.6485086562762161,0.578125,0.6942038640906063,0.24006414972459741
5,1.4811192750930786,0.6765815916587021,0.6282874416124873,0.579004329004329,0.690901867302344,0.22907351383607943,0.61505325443787,0.5784894546847507,0.5492307692307692,0.6689265536723163,0.14253932901995967,0.6498567257785467,0.5955891934467833,0.5845588235294118,0.6912568306010929,0.2340126166724879
6,1.4544341564178467,0.6778653007346188,0.6216127467431837,0.5984848484848485,0.6959016393442623,0.2565386148488017,0.6147218934911242,0.567691889214418,0.563076923076923,0.6682242990654206,0.16310343800200983,0.6481164846453287,0.587916032998441,0.6102941176470589,0.6988636363636364,0.2727723627949905
7,1.2833881378173828,0.7142097283128127,0.6535363290473393,0.6317640692640693,0.7078772268727195,0.30876417385387034,0.6512568047337278,0.5981739576825613,0.6061538461538462,0.6839506172839506,0.2439137309658929,0.6817149653979238,0.6202067630079456,0.6341911764705882,0.7051851851851851,0.3062391993988904
8,1.0569099187850952,0.7573104655085174,0.7009358837256863,0.6636904761904762,0.7272328286153171,0.3699919676148948,0.701273372781065,0.6481271737411132,0.6384615384615384,0.7051442910915935,0.31049993169002255,0.7277756001297577,0.674032515032553,0.6498161764705882,0.7120181405895691,0.3322306040807182
9,0.9866268038749695,0.7826852417964432,0.7377796482167335,0.6912878787878788,0.7441130298273155,0.42005011582082646,0.7336615384615385,0.6899200290748523,0.6553846153846153,0.7135549872122762,0.34008276209789423,0.7566010894247405,0.7204780583668671,0.6636029411764706,0.7175925925925926,0.3541126515815719
10,0.8968054056167603,0.7928735113191282,0.7604004579390956,0.700487012987013,0.7411737198971241,0.42239244638317575,0.7439526627218935,0.7117158340669957,0.6630769230769231,0.7114624505928854,0.3462056290707491,0.769005798551038,0.750070342224184,0.6755514705882353,0.7178257394084733,0.3680113155661039
11,0.8295955657958984,0.7982607557485804,0.7763960681020086,0.7058982683982684,0.7392660110338211,0.42598640331380666,0.749491124260355,0.7286312807667819,0.6630769230769231,0.7012278308321964,0.3373402020612933,0.775184499351211,0.7697331656360674,0.6875,0.7217675941080196,0.38692197163041686
12,0.7629228234291077,0.8016812957965554,0.7857893106801017,0.7080627705627706,0.7385510055730555,0.42792656939122864,0.7534201183431953,0.7377375510655069,0.6646153846153846,0.7046070460704607,0.34200667225709325,0.7805336288927336,0.7801303891541482,0.6875,0.7194719471947195,0.3851388160304603
13,0.8015344142913818,0.804071559753378,0.7915393309946964,0.7164502164502164,0.7437652811735941,0.4430879910812474,0.7584852071005916,0.7438943421652046,0.6646153846153846,0.7038043478260869,0.3414003140437045,0.7831896085640138,0.782099618933339,0.6930147058823529,0.7235099337748344,0.3957786171568527
14,0.725713849067688,0.8078408446712018,0.7974968802570154,0.7218614718614719,0.7497565725413826,0.45517920488654334,0.7647526627218935,0.7531469870748677,0.6692307692307692,0.7090663058186739,0.35191397458595475,0.7867984969723183,0.7851346321332753,0.6966911764705882,0.7254575707154742,0.4023153460429953
15,0.7618783116340637,0.8145681654204381,0.807242683672725,0.7248376623376623,0.7518907050500122,0.46076486245019455,0.7740497041420118,0.7642274874159206,0.68,0.7166212534059946,0.3726624943014387,0.7924770896410034,0.7925468480265667,0.7022058823529411,0.7272727272727273,0.4114227114896759
16,0.7176551818847656,0.8187356812559734,0.8130673570924581,0.7291666666666666,0.7538726333907056,0.46785848649246403,0.7818508875739645,0.7699193765379242,0.6876923076923077,0.7215363511659808,0.3869916500770174,0.7970169225778547,0.7969507567271483,0.7058823529411765,0.7278911564625851,0.41726029220929445
17,0.6835945248603821,0.8209211198253407,0.8138578760786273,0.7302489177489178,0.7537663620647074,0.4691361964700977,0.7858934911242603,0.7726386649953308,0.683076923076923,0.7178082191780822,0.37777777777777777,0.7989835640138407,0.7967403875901821,0.7132352941176471,0.7319587628865979,0.4306943887089759
18,0.6445793509483337,0.8225114081445251,0.8128123926376872,0.7351190476190477,0.7572526655095463,0.4782575377700628,0.7888378698224852,0.7725799691630095,0.6907692307692308,0.7242798353909465,0.39333577548811605,0.8003352076124566,0.7945440260381343,0.7141544117647058,0.7325881341358556,0.4324383236745968
19,0.6510905623435974,0.8258840726373193,0.8156184662391517,0.7359307359307359,0.7584158415841584,0.480255438839766,0.7927100591715976,0.774625757580834,0.6984615384615385,0.7300275482093664,0.4082421574326308,0.8033392355103807,0.79845116187453,0.7196691176470589,0.7386461011139674,0.44404542631820365
