epoch,loss,train_auroc,train_auprc,train_accuracy,train_f1,train_mcc,val_auroc,val_auprc,val_accuracy,val_f1,val_mcc,test_auroc,test_auprc,test_accuracy,test_f1,test_mcc
0,3.9206883907318115,0.5587929386630685,0.5336763132530403,0.5,0.6666666666666666,0.0,0.5171218934911243,0.5095212973624775,0.5,0.6666666666666666,0.0,0.5495597020977508,0.5277948342130891,0.5009191176470589,0.6670754138565297,0.030330895164368973
1,7.763925552368164,0.6042404565131838,0.5792334954498592,0.5021645021645021,0.6676300578034682,0.04657464328326223,0.5498319526627219,0.5460589487454202,0.5,0.6652935118434603,0.0,0.5783074718858132,0.5517105636931485,0.5036764705882353,0.6683046683046683,0.0607456739230787
2,3.3348090648651123,0.7377157474560072,0.6975262373699477,0.5248917748917749,0.677443056576047,0.1534185895719661,0.6954319526627218,0.6759567667283507,0.52,0.6722689075630253,0.10825442657156774,0.7184391219723183,0.6851404383553056,0.5275735294117647,0.6783479349186483,0.15847526649421315
3,1.7878044843673706,0.7563178163827515,0.7184434075577677,0.551948051948052,0.6877828054298643,0.21081851067789198,0.712530177514793,0.6973044650856906,0.5338461538461539,0.6773162939297125,0.14797462391639798,0.7381055363321799,0.708063553683631,0.5569852941176471,0.6890322580645162,0.21586675990595228
4,1.6760351657867432,0.7155225726654297,0.6826992354143862,0.5616883116883117,0.686289697908598,0.2031120959527424,0.6635644970414201,0.6441861462623348,0.5476923076923077,0.676923076923077,0.15897435897435896,0.6940267490268166,0.6579865023088438,0.5790441176470589,0.6942590120160214,0.24053144742848098
5,1.4768906831741333,0.6659264256666854,0.6367074436669234,0.5725108225108225,0.6867565424266455,0.21200514788186278,0.6086816568047337,0.5791097860488224,0.5476923076923077,0.667420814479638,0.13744694576024066,0.6448725400086505,0.5973306024943756,0.5863970588235294,0.6909340659340659,0.23462490000031858
6,1.5257058143615723,0.666577650343884,0.6298832672728325,0.5865800865800865,0.6868852459016394,0.22552845261433116,0.6035786982248521,0.5662744632764761,0.56,0.6666666666666666,0.15617376188860607,0.6401012381055363,0.5878439722087325,0.5992647058823529,0.6907801418439716,0.24631356060759688
7,1.3121370077133179,0.7056745563239069,0.6630368151212069,0.6136363636363636,0.695132365499573,0.2689347679345463,0.6440236686390532,0.5981829054473311,0.6,0.6821515892420538,0.2336361660014333,0.675142598399654,0.6218631182292331,0.6277573529411765,0.7024246877296105,0.2954058738350369
8,1.0610932111740112,0.752506512246772,0.7105618852303273,0.6461038961038961,0.7163920208152645,0.33644709615280544,0.7030153846153846,0.653817356034374,0.6246153846153846,0.7009803921568627,0.28989832807023036,0.7276776059688581,0.6795478906913623,0.6415441176470589,0.7098214285714286,0.32083333333333336
9,1.035014271736145,0.7810104758156706,0.7485692561725877,0.670995670995671,0.7319223985890653,0.38394779698387116,0.739512426035503,0.7001525782489683,0.6446153846153846,0.7137546468401487,0.3303312749876006,0.7609854833477508,0.727573865974267,0.6636029411764706,0.7239819004524887,0.3638780951192089
